original_name,matched_name,latitude,longitude,type,score,status,correction
"Trois-Peupliers","Moulin des Trois Peupliers 11360 Fontjoncouse",,,"street",0.5076966233766234,excluded,"NOK"
"Cuiry-les-Chaudardes","Cuiry-lès-Chaudardes",49.386583,3.76998,"municipality",0.7660799604743083,found,""
"route de Pontavert","Route de Pontavert 02160 Craonne",49.439438,3.788257,"street",0.7625834632034632,review,""
"bois des Couleuvres","Rue des Bois de Couleur 97450 Saint-Louis",,,"street",0.5305503448275862,excluded,"NOK"
"bois de Beau-Marais","Rue du Beau Marais 62100 Calais",,,"street",0.5252181818181818,excluded,"NOK"
"Corbeny","Corbeny",49.464115,3.824721,"municipality",0.5711318181818181,validated,"OK"
"Berrieux","Berrieux",49.487922,3.846598,"municipality",0.597123305785124,found,""
"château de Belval","Château de Belval 88210 Le Saulcy",49.114803,3.854840,"street",0.7513563636363636,corrected,"49.114803, 3.854840"
"Goudelancourt","Rue de Goudelancourt 02350 Bucy-lès-Pierrepont",49.647717,3.899579,"street",0.5668473553719008,review,""
"Sissonne","Sissonne",49.570064,3.892236,"municipality",0.6082114876033057,found,""
"Maison-Bleue","Maison bleue 40090 Cère",,,"locality",0.6922684848484848,excluded,"NOK"
"Thuillots","Lieu-dit Thuillot 90400 Vézelois",,,"locality",0.39332181818181816,excluded,"NOK"
"bois Bas","Bois Bas 42520 Roisey",,,"locality",0.6081087603305785,excluded,"NOK"
"Hundingstellung","",,,"",,excluded,"NOK"
"La Selve","La Selve 31370 Savères",,,"street",0.6060960330578512,excluded,"NOK"
"Maison-Blanche","Maison Blanche 35132 Vezin-le-Coquet",,,"street",0.7395135294117646,excluded,"NOK"
"château de la Garenne","Chateau de la Garenne 60129 Glaignes",,,"street",0.7825748484848485,excluded,"NOK"
"buisson Riquette","Rue de Roquette Buisson 65400 Argelès-Gazost",,,"street",0.4686361038961039,excluded,"NOK"
"Petit-Simon-le-Grand","Le Petit Bois Simon 37800 Pussigny",,,"street",0.44523155844155843,excluded,"NOK"
"Saint-Erme","Rue de Saint-erme 02820 Montaigu",49.534138,3.83538,"street",0.5177307177033492,validated,"OK"
"Renneville","Renneville",,,"street",0.6612842657342656,excluded,"NOK"
"Fraillicourt","Fraillicourt",49.664575,4.162483,"municipality",0.6851230303030302,found,""
"Epernay","Épernay",49.040236,3.960527,"municipality",0.5859154545454545,found,""
"Charleroi","288 la Charlerie 37340 Hommes",50.416451,4.444998,"housenumber",0.5655248128342246,corrected,"50.416451, 4.444998"
"Pontavert","Pontavert",49.409946,3.821144,"municipality",0.6302042424242423,found,""
"Châlons","Chalons 40230 Saint-Vincent-de-Tyrosse",48.959603,4.368062,"street",0.5863363636363635,corrected,"48.959603, 4.368062"
"Saint-Dizier","Saint-Dizier",48.638926,4.957021,"municipality",0.7072875757575757,found,""
"Toul","Ty Toul 29450 Sizun",48.672495,5.897372,"street",0.44375585858585853,corrected,"48.672495, 5.897372"
"Delme","Delme",48.887765,6.390983,"municipality",0.48159818181818176,found,""
"Château-Salins","Château-Salins",48.820539,6.501427,"municipality",0.7253726203208555,found,""
"Dieuze","Dieuze",48.811468,6.720321,"municipality",0.5361277777777778,found,""
"Sarreguemines","Sarreguemines",49.110922,7.07705,"municipality",0.7219136363636364,found,""
"Palatinat","Rue du Palatinat 57070 Metz",49.196162,8.031750,"street",0.5140709090909091,corrected,"49.196162, 8.031750"
"Saint-Ingbert","Saint-Martin 83300 Draguignan",,,"street",0.36875909090909087,excluded,"NOK"
"Reims","Reims",49.250948,4.055595,"municipality",0.5045163636363637,found,""
"canal de la Marne à l'Aisne","Chemin du Canal de Perrin 97111 Morne-à-l'Eau",,,"street",0.3524593939393939,excluded,"NOK"
"la Meuse","Rue de la Meuse 31500 Toulouse",,,"street",0.49544385026737964,excluded,"NOK"
"Saint-Ingbert (Palatinat)","Rue Palatin 31790 Saint-Jory",49.270638,7.120013,"street",0.39658812834224594,corrected,"49.270638, 7.120013"
"19","N 19 77170 Brie-Comte-Robert",,,"locality",0.34597030303030296,excluded,"NOK"
"Rhein-Durkheim","Rue Strauss-Durkheim 67000 Strasbourg",48.590304,7.754415,"street",0.32425389610389604,review,""
"Deux-Ponts","Les Deux Ponts 04600 Château-Arnoux-Saint-Auban",,,"locality",0.6051418181818181,excluded,"NOK"
"boulevard de la Madeleine","306 Boulevard de la Madeleine 06000 Nice",48.870062,2.324523,"housenumber",0.9904827272727272,corrected,"48.870062, 2.324523"
